Oxides,Lattice_type,Bulk_Modulus,Density,Heat_capacity,Debye_Temperature,Gruneisen_parameters,Egap,Poisson_ratio,Thermal_expansion,Unitcell_atoms,Speed_of_sound,Thermal_Conductivity
K2O1,3,23.9131,2.29606,9.64542,260.787,2.09138,1.7128,0.301853,0.000166916,3,2560.04,1.76563
Dy4Li4O8,6,123.195,6.59218,44.5625,437.913,1.96825,4.5771,0.28225,4.78E-05,16,3367.34,4.09064
Cu2O4Y2,4,112.793,4.87204,23.049,357.993,2.05372,2.7617,0.360836,4.55E-05,8,2971.03,3.18158
Cs2O12Te4,3,109.219,5.44881,50.3545,454.923,2.49031,0,0.245966,5.32E-05,18,3738.19,2.95947
O8Pd6Sr2,2,140.034,7.52714,45.8203,394.15,2.35208,0,0.318839,5.08E-05,16,3107.38,2.37955
Bi4O12Rb12,2,36.8712,4.72483,87.0688,224.034,2.15065,3.1139,0.28736,9.63E-05,28,1409.36,0.572559
Ag6As2O8,2,90.4714,6.27993,48.5721,259.075,2.28457,0.4311,0.385651,6.87E-05,16,1760.03,0.747144
Nb8O10,9,235.158,6.85676,45.4622,593.973,2.02358,0,0.287429,2.44E-05,18,4454.53,8.71805
O8Si2Zn4,1,158.261,4.73351,36.8695,537.145,1.94737,3.3701,0.327952,3.95E-05,14,3661.33,5.11332
B2O8Ta2,1,285.595,7.71043,27.5858,731.956,1.97342,3.6319,0.254041,2.36E-05,12,4930.12,17.4699
Ce4O12Sr4,6,122.161,5.55621,55.9793,417.876,2.05806,2.9297,0.298897,3.92E-05,20,3415.98,3.31914
Cr2Er2O8,1,155.035,5.88616,32.4867,483.89,2.04561,0.188,0.303846,3.66E-05,12,3440.73,5.86044
O8Sn2Zn4,3,144.009,6.36958,39.2536,427.04,2.07626,0.6598,0.33539,4.75E-05,14,3184.65,3.18772
Ba2O4Zr1,1,111.192,5.81724,19.7649,403.063,2.11021,2.9804,0.277707,4.17E-05,7,3397.06,6.45536
Na4O8W2,3,126.459,4.93288,36.9508,536.064,2.01072,4.9017,0.249075,4.05E-05,14,2768.96,6.76355
Gd2O8V2,1,151.183,5.29012,32.8037,459.076,1.96157,2.9412,0.327495,3.40E-05,12,3266.5,5.37694
Ca4O12Ti4,6,169.034,3.86998,46.063,737.007,2.01302,2.8956,0.250907,3.19E-05,20,5602.2,8.4113
Al1Bi1O3,2,181.036,8.63886,13.1995,531.002,2.02741,1.5288,0.245881,3.69E-05,5,4012.06,15.9342
O1Pb1Yb3,2,47.2028,10.542,15.3422,224.922,2.0748,0,0.172938,7.88E-05,5,2197.97,3.88396
O3Ru1Sr1,2,135.371,6.12877,14.032,476.775,2.83148,0,0.280701,6.27E-05,5,3865.81,4.93488
Ca4O8Sn2,6,120.41,4.54336,37.6645,513.812,2.16232,2.457,0.277799,4.79E-05,14,3985.83,4.51284
Ag1Na1O1,3,51.1524,5.28629,9.39792,276.191,2.25423,0,0.314308,0.00012223,3,2339.79,2.42368
Ce2O8V2,1,139.283,4.54933,33.0955,442.07,1.9751,2.4075,0.341061,3.45E-05,12,3150.62,4.55947
O8Zn4,2,145.855,5.72001,31.2472,569.997,1.98233,2.753,0.277165,5.09E-05,12,4028.59,6.29213
Cd1O6Sb2,4,151.986,6.22351,24.8449,461.915,2.34658,1.4565,0.305361,4.34E-05,9,3088.53,4.88431
Bi4Cr4O12,6,166.366,8.41289,55.4295,441.124,2.10001,1.5496,0.296333,3.92E-05,20,3346.41,3.78178
Fe1O2Sr1,9,100.648,5.04615,11.0413,461.079,1.95694,0,0.257344,5.08E-05,4,3717.47,11.087
O2Pa1,3,197.993,10.749,8.32765,421.933,2.05892,0,0.286166,2.92E-05,3,3370.52,18.0073
O14Pb4Sb4,3,127.236,7.99908,60.6059,467.914,2.27071,0,0.196273,4.62E-05,22,3883.87,4.30099
Gd4O14Sn4,3,152.748,7.23794,60.2585,464.846,2.14732,2.1547,0.271976,3.81E-05,22,3733.35,4.03794
Li2O1,3,69.5865,1.97273,6.41937,862.689,1.84982,4.9039,0.160425,8.82E-05,3,6502.41,19.3402
O4S4Zr4,2,148.355,4.81625,32.7949,457.086,1.99064,2.4226,0.328682,3.13E-05,12,3551.48,5.46648
Cu3O5Sr2,7,103.109,5.45089,28.3361,434.817,2.27474,0,0.281097,6.25E-05,10,3373.23,3.63613
Hf4O28V8,2,129.617,3.60511,105.973,515.989,1.9517,2.6438,0.299749,3.02E-05,40,3462.26,3.23817
Gd2O8P2,1,172.486,5.48174,31.8107,519.102,2.0151,5.5739,0.314872,3.32E-05,12,3444.47,6.54379
Hf2O8Si2,1,227.385,6.81658,30.1628,603.116,1.9727,5.2995,0.288187,2.71E-05,12,4346.04,10.9772
Ba3Co3O6,4,80.9206,5.38592,35.4788,309.033,2.05843,1.6271,0.330743,5.87E-05,12,2621.17,1.99198
O8Pt6,2,201.353,11.9767,41.0076,308.031,2.39896,0,0.375487,3.74E-05,14,2395.9,1.8683
Ba2O12Te4,7,114.599,5.85455,51.2,402.123,2.22965,1.7384,0.300036,4.92E-05,18,2634.85,2.56174
C2Li4O6,4,144.84,2.42385,22.9782,963.896,1.93219,3.7533,0.243441,4.04E-05,12,4797.52,11.8313
Hf4O8,6,266.205,11.6031,32.4473,475.013,2.00358,3.385,0.318877,2.78E-05,12,3103.66,7.82442
O8Pr2V2,1,142.546,4.6491,32.9257,451.98,1.97185,2.7093,0.336063,3.41E-05,12,3228.48,4.8759
